unique_id,id,url,sender,sender_type,sender_id,age,wat_is_uw_geslacht,prolificid,x,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,stimulus_1,stimulus_2,stimulus_3,stimulus_4,stimulus_5,total_correct,stim_1,stim_2,q_stim_1,q_stim_2,block,relation_1,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,stim_7_id,relation_4,stim_8_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,trial_num,q_word,stim_3,stim_4,response,response_action,correct_response_2,correct,stim_5,stim_6,stim_7,stim_8,q_stim_3,q_stim_4,q_stim_3_id,q_stim_4_id,stim_1_id,relation_1_verb,relation_1_place,relation_1_time,stim_2_id,relation_2_verb,relation_2_place,relation_2_time,switch_1,switch_2_stim_1_id,switch_2_verb,switch_2_stim_2_id,switch_2_and,switch_2_if,q_rel_place,q_rel_time,switch_2_stim_1,switch_2_stim_2,meta_relation_1,meta_stim_1_id,meta_relation_2,meta_stim_2_id,meta_stim_1,meta_stim_2
702b5,236,list(),demographics,html.Page,0,22,V,selma.abdelmotlebomar@ugent.be,,form submission,19843,593,623,634,20477,20478,2022-04-28T11:15:09.443Z,20519,20.2.4,https://www.drjamiecummins.com/md/rai-elaborated-nl/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15",MacIntel,nl-BE,nl-BE,Europe/Brussels,-120,1440,900,1440,837,1440,837,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702b5,237,NA,introduction_1,html.Page,1_0,NA,NA,NA,,form submission,109138,20479,20503,20519,129657,129657,2022-04-28T11:16:58.620Z,129694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702b5,237,NA,introduction_2,html.Page,1_1,NA,NA,NA,,form submission,2112,129658,129677,129694,131806,131807,2022-04-28T11:17:00.769Z,132111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702b5,238,NA,trial,canvas.Screen,1_2_0_0_0,NA,NA,NA,NA,response,6957,132068,132093,132111,139050,139047,2022-04-28T11:17:08.010Z,139093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUP,NEX,XAS,JOC,YOG,0,LUP,NEX,LUP,XAS,1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,1,hetzelfde als,3,yes,1,Is,NEX,XAS,no,mousedown @no,yes,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702b5,238,NA,timer,html.Frame,1_2_0_0,NA,NA,NA,NA,NA,6939,132062,132093,132111,139050,139050,2022-04-28T11:17:08.013Z,139093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAQ,QOC,PUZ,GUV,FUP,NA,LUP,NEX,LUP,NEX,1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,1,hetzelfde als,3,yes,1,Is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702b5,238,NA,iti,canvas.Screen,1_2_0_1,NA,NA,NA,NA,timeout,1006,139051,139078,139093,140077,140079,2022-04-28T11:17:09.042Z,140099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUP,NEX,LUP,NEX,1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,1,hetzelfde als,3,yes,1,Is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702b5,238,NA,trial_sequence,flow.Sequence,1_2_0,NA,NA,NA,NA,completion,7966,132059,132093,132111,140077,140080,2022-04-28T11:17:09.042Z,140099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUP,NEX,LUP,NEX,1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,1,hetzelfde als,3,yes,1,Is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702b5,238,NA,trial,canvas.Screen,1_2_1_0_0,NA,NA,NA,NA,response,351,140090,140077,140099,140428,140425,2022-04-28T11:17:09.387Z,140443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAQ,QOC,PUZ,JAQ,1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,3,het tegenovergestelde van,1,no,2,Is,QOC,PUZ,no,mousedown @no,no,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702b5,238,NA,timer,html.Frame,1_2_1_0,NA,NA,NA,NA,NA,328,140082,140077,140099,140427,140427,2022-04-28T11:17:09.390Z,140443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KIV,NIK,FOT,BIR,CEC,1,LUP,NEX,LUP,NEX,1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,3,het tegenovergestelde van,1,no,2,Is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702b5,238,NA,iti,canvas.Screen,1_2_1_1,NA,NA,NA,NA,timeout,1001,140427,140433,140443,141427,141428,2022-04-28T11:17:10.390Z,141444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUP,NEX,LUP,NEX,1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,3,het tegenovergestelde van,1,no,2,Is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
