unique_id,id,url,sender,sender_type,sender_id,age,wat_is_uw_geslacht,prolificid,x,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,stimulus_1,stimulus_2,stimulus_3,stimulus_4,stimulus_5,total_correct,stim_1,stim_2,q_stim_1,q_stim_2,block,relation_1,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,stim_7_id,relation_4,stim_8_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,trial_num,q_word,stim_3,stim_4,response,response_action,correct_response_2,correct,stim_5,stim_6,stim_7,stim_8,q_stim_3,q_stim_4,q_stim_3_id,q_stim_4_id,stim_1_id,relation_1_verb,relation_1_place,relation_1_time,stim_2_id,relation_2_verb,relation_2_place,relation_2_time,switch_1,switch_2_stim_1_id,switch_2_verb,switch_2_stim_2_id,switch_2_and,switch_2_if,q_rel_place,q_rel_time,switch_2_stim_1,switch_2_stim_2,meta_relation_1,meta_stim_1_id,meta_relation_2,meta_stim_2_id,meta_stim_1,meta_stim_2
4bbee,273,list(),demographics,html.Page,0,65,f,debackerinne@hotmail.com,,form submission,8449.20499995232,334.099999904633,343.875,360.595,8809.79999995232,8810.20000004768,2022-05-14T08:07:45.954Z,8809.383,20.2.4,https://www.drjamiecummins.com/md/rai-elaborated-nl/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36",Win32,nl-NL,nl,Europe/Amsterdam,-120,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4bbee,275,NA,introduction_1,html.Page,1_0,NA,NA,NA,,form submission,20980.2169999046,8810.59999990463,8792.696,8809.383,29789.5999999046,29789.7999999523,2022-05-14T08:08:06.933Z,29813.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4bbee,275,NA,introduction_2,html.Page,1_1,NA,NA,NA,,form submission,831.94399985695,29789.899999857,29773.351,29813.456,30645.399999857,30645.5999999046,2022-05-14T08:08:07.789Z,30790.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4bbee,276,NA,trial,canvas.Screen,1_2_0_0_0,NA,NA,NA,NA,response,4227.34099985695,30774.7000000477,30639.891,30790.559,35017.899999857,35019.7999999523,2022-05-14T08:08:12.163Z,35022.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUP,NIK,HOS,FEJ,FEG,0,LUP,NIK,LUP,HOS,1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,1,hetzelfde als,3,yes,1,Is,NIK,HOS,yes,mousedown @yes,yes,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4bbee,276,NA,timer,html.Frame,1_2_0_0,NA,NA,NA,NA,NA,4230.14100004768,30771.7999999523,30639.891,30790.559,35020.7000000477,35020.7999999523,2022-05-14T08:08:12.164Z,35022.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DOX,MUR,COM,JEJ,LOD,1,LUP,NIK,LUP,NIK,1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,1,hetzelfde als,3,yes,1,Is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4bbee,276,NA,iti,canvas.Screen,1_2_0_1,NA,NA,NA,NA,timeout,999.880000000005,35020.899999857,35006.01,35022.681,36005.937,36007,2022-05-14T08:08:13.151Z,36022.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUP,NIK,LUP,NIK,1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,1,hetzelfde als,3,yes,1,Is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4bbee,276,NA,trial_sequence,flow.Sequence,1_2_0,NA,NA,NA,NA,completion,5215.378,30770.7999999523,30639.891,30790.559,36005.937,36007.2000000477,2022-05-14T08:08:13.151Z,36022.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUP,NIK,LUP,NIK,1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,1,hetzelfde als,3,yes,1,Is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4bbee,278,NA,trial,canvas.Screen,1_2_1_0_0,NA,NA,NA,NA,response,5055.63900004768,36009.7999999523,36005.937,36022.561,41078.2000000477,41079.0999999046,2022-05-14T08:08:18.223Z,41088.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DOX,MUR,COM,DOX,1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,3,het tegenovergestelde van,1,no,2,Is,MUR,COM,no,mousedown @no,no,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4bbee,278,NA,timer,html.Frame,1_2_1_0,NA,NA,NA,NA,NA,5057.03899990463,36008,36005.937,36022.561,41079.5999999046,41079.5999999046,2022-05-14T08:08:18.223Z,41088.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JIS,SOJ,JOM,MUQ,QIZ,2,LUP,NIK,LUP,NIK,1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,3,het tegenovergestelde van,1,no,2,Is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4bbee,278,NA,iti,canvas.Screen,1_2_1_1,NA,NA,NA,NA,timeout,999.843000000001,41079.899999857,41071.896,41088.567,42071.733,42072.2999999523,2022-05-14T08:08:19.216Z,42088.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUP,NIK,LUP,NIK,1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,3,het tegenovergestelde van,1,no,2,Is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4bbee,278,NA,trial_sequence,flow.Sequence,1_2_1,NA,NA,NA,NA,completion,6049.172,36007.2999999523,36005.937,36022.561,42071.733,42072.7000000477,2022-05-14T08:08:19.216Z,42088.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUP,NIK,LUP,NIK,1,is hetzelfde als,2,is hetzelfde als,3,,,,,,,3,het tegenovergestelde van,1,no,2,Is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4bbee,279,NA,trial,canvas.Screen,1_2_2_0_0,NA,NA,NA,NA,response,9677.68999990463,42075.7999999523,42071.733,42088.41,51766.0999999046,51768,2022-05-14T08:08:28.912Z,51770.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JIS,SOJ,JIS,JOM,1,is hetzelfde als,2,is het tegenovergestelde van,3,,,,,,,1,hetzelfde als,3,no,3,Is,SOJ,JOM,no,mousedown @no,no,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4bbee,279,NA,timer,html.Frame,1_2_2_0,NA,NA,NA,NA,NA,9680.48999985695,42074.2999999523,42071.733,42088.41,51768.899999857,51769.0999999046,2022-05-14T08:08:28.913Z,51770.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIX,VUS,KIB,LAZ,JEL,3,LUP,NIK,LUP,NIK,1,is hetzelfde als,2,is het tegenovergestelde van,3,,,,,,,1,hetzelfde als,3,no,3,Is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4bbee,279,NA,iti,canvas.Screen,1_2_2_1,NA,NA,NA,NA,timeout,999.951000000001,51769.2000000477,51753.947,51770.511,52753.797,52755.899999857,2022-05-14T08:08:29.900Z,52770.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUP,NIK,LUP,NIK,1,is hetzelfde als,2,is het tegenovergestelde van,3,,,,,,,1,hetzelfde als,3,no,3,Is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4bbee,279,NA,trial_sequence,flow.Sequence,1_2_2,NA,NA,NA,NA,completion,10665.387,42072.899999857,42071.733,42088.41,52753.797,52756.0999999046,2022-05-14T08:08:29.900Z,52770.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUP,NIK,LUP,NIK,1,is hetzelfde als,2,is het tegenovergestelde van,3,,,,,,,1,hetzelfde als,3,no,3,Is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
